criterion,factor,new_top1,top1_changed,spearman_vs_base
C1,0.5,DEWATS modular train,False,0.9761904761904762
C1,0.8,DEWATS modular train,False,1.0
C1,0.9,DEWATS modular train,False,1.0
C1,1.1,DEWATS modular train,False,1.0
C1,1.2,DEWATS modular train,False,1.0
C1,1.5,DEWATS modular train,False,0.9761904761904762
C1,2.0,VF nitrifying hybrid,True,0.9047619047619048
C2,0.5,DEWATS modular train,False,0.7380952380952381
C2,0.8,DEWATS modular train,False,0.9047619047619048
C2,0.9,DEWATS modular train,False,0.9285714285714286
C2,1.1,DEWATS modular train,False,1.0
C2,1.2,DEWATS modular train,False,1.0
C2,1.5,DEWATS modular train,False,0.9761904761904762
C2,2.0,DEWATS modular train,False,0.7619047619047619
C3,0.5,DEWATS modular train,False,1.0
C3,0.8,DEWATS modular train,False,1.0
C3,0.9,DEWATS modular train,False,1.0
C3,1.1,DEWATS modular train,False,0.9761904761904762
C3,1.2,DEWATS modular train,False,0.9285714285714286
C3,1.5,DEWATS modular train,False,0.9285714285714286
C3,2.0,DEWATS modular train,False,0.7619047619047619
C4,0.5,DEWATS modular train,False,1.0
C4,0.8,DEWATS modular train,False,1.0
C4,0.9,DEWATS modular train,False,1.0
C4,1.1,DEWATS modular train,False,0.9761904761904762
C4,1.2,DEWATS modular train,False,0.9285714285714286
C4,1.5,DEWATS modular train,False,0.9285714285714286
C4,2.0,DEWATS modular train,False,0.8571428571428572
C6,0.5,DEWATS modular train,False,1.0
C6,0.8,DEWATS modular train,False,1.0
C6,0.9,DEWATS modular train,False,1.0
C6,1.1,DEWATS modular train,False,1.0
C6,1.2,DEWATS modular train,False,1.0
C6,1.5,DEWATS modular train,False,1.0
C6,2.0,DEWATS modular train,False,1.0
C7,0.5,DEWATS modular train,False,0.7619047619047619
C7,0.8,DEWATS modular train,False,0.9761904761904762
C7,0.9,DEWATS modular train,False,1.0
C7,1.1,DEWATS modular train,False,1.0
C7,1.2,DEWATS modular train,False,0.9523809523809523
C7,1.5,DEWATS modular train,False,0.9047619047619048
C7,2.0,DEWATS modular train,False,0.8809523809523809
C8,0.5,DEWATS modular train,False,0.9285714285714286
C8,0.8,DEWATS modular train,False,0.9761904761904762
C8,0.9,DEWATS modular train,False,0.9761904761904762
C8,1.1,DEWATS modular train,False,0.9761904761904762
C8,1.2,DEWATS modular train,False,0.9761904761904762
C8,1.5,DEWATS modular train,False,0.9285714285714286
C8,2.0,DEWATS modular train,False,0.8333333333333334
