solution,optimal_water_type,location_suitability,climate_suitability,soil_type,resource_requirements,notes,state_name
Constructed Wetlands,Grey Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",bihar
Constructed Wetlands,Grey Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",delhi
Constructed Wetlands,Grey Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",karnataka
Constructed Wetlands,Grey Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",madhya pradesh
Constructed Wetlands,Grey Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",maharashtra
Constructed Wetlands,Grey Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",rajasthan
Constructed Wetlands,Grey Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",tamil nadu
Constructed Wetlands,Grey Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",uttar pradesh
Constructed Wetlands,Grey Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",west bengal
Constructed Wetlands,Black Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",bihar
Constructed Wetlands,Black Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",delhi
Constructed Wetlands,Black Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",karnataka
Constructed Wetlands,Black Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",madhya pradesh
Constructed Wetlands,Black Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",maharashtra
Constructed Wetlands,Black Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",rajasthan
Constructed Wetlands,Black Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",tamil nadu
Constructed Wetlands,Black Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",uttar pradesh
Constructed Wetlands,Black Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",west bengal
Constructed Wetlands,Brown Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",bihar
Constructed Wetlands,Brown Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",delhi
Constructed Wetlands,Brown Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",karnataka
Constructed Wetlands,Brown Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",madhya pradesh
Constructed Wetlands,Brown Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",maharashtra
Constructed Wetlands,Brown Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",rajasthan
Constructed Wetlands,Brown Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",tamil nadu
Constructed Wetlands,Brown Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",uttar pradesh
Constructed Wetlands,Brown Water,Rural and peri-urban areas,Tropical to temperate,"Loamy, clayey","Land area, native wetland plants, gravel/sand substrates, minimal energy inputs","Mimics natural wetlands; effective in removing organic matter, nutrients, and pathogens",west bengal
Staircase Wetlands,Greywater,Hilly terrains,Tropical to subtropical,Well-drained soils,"Tiered land, aquatic plants, gravity flow systems",Ideal for sloped terrains; utilizes gravity for enhanced treatment,himachal pradesh
Staircase Wetlands,Greywater,Hilly terrains,Tropical to subtropical,Well-drained soils,"Tiered land, aquatic plants, gravity flow systems",Ideal for sloped terrains; utilizes gravity for enhanced treatment,manipur
Staircase Wetlands,Greywater,Hilly terrains,Tropical to subtropical,Well-drained soils,"Tiered land, aquatic plants, gravity flow systems",Ideal for sloped terrains; utilizes gravity for enhanced treatment,meghalaya
Staircase Wetlands,Greywater,Hilly terrains,Tropical to subtropical,Well-drained soils,"Tiered land, aquatic plants, gravity flow systems",Ideal for sloped terrains; utilizes gravity for enhanced treatment,nagaland
Staircase Wetlands,Greywater,Hilly terrains,Tropical to subtropical,Well-drained soils,"Tiered land, aquatic plants, gravity flow systems",Ideal for sloped terrains; utilizes gravity for enhanced treatment,sikkim
Staircase Wetlands,Greywater,Hilly terrains,Tropical to subtropical,Well-drained soils,"Tiered land, aquatic plants, gravity flow systems",Ideal for sloped terrains; utilizes gravity for enhanced treatment,uttarakhand
Green Roofs and Green Walls,Greywater,Urban areas with space constraints,Tropical to temperate,Lightweight substrates,"Structural support, drought-resistant plants, irrigation systems",Provide insulation and reduce urban heat islands; treat greywater,delhi
Green Roofs and Green Walls,Greywater,Urban areas with space constraints,Tropical to temperate,Lightweight substrates,"Structural support, drought-resistant plants, irrigation systems",Provide insulation and reduce urban heat islands; treat greywater,karnataka
Green Roofs and Green Walls,Greywater,Urban areas with space constraints,Tropical to temperate,Lightweight substrates,"Structural support, drought-resistant plants, irrigation systems",Provide insulation and reduce urban heat islands; treat greywater,maharashtra
Green Roofs and Green Walls,Greywater,Urban areas with space constraints,Tropical to temperate,Lightweight substrates,"Structural support, drought-resistant plants, irrigation systems",Provide insulation and reduce urban heat islands; treat greywater,tamil nadu
Green Roofs and Green Walls,Greywater,Urban areas with space constraints,Tropical to temperate,Lightweight substrates,"Structural support, drought-resistant plants, irrigation systems",Provide insulation and reduce urban heat islands; treat greywater,west bengal
Green Roofs and Green Walls,Greywater,Urban areas with space constraints,Tropical to temperate,Lightweight substrates,"Structural support, drought-resistant plants, irrigation systems",Provide insulation and reduce urban heat islands; treat greywater,delhi
Floating Treatment Wetlands,Greywater,"Urban water bodies, lakes, ponds",Tropical,Aquatic environments,"Floating platforms, aquatic plants like Eichhornia crassipes, Pistia stratiotes",Deployed in existing water bodies to passively treat wastewater,delhi
Floating Treatment Wetlands,Greywater,"Urban water bodies, lakes, ponds",Tropical,Aquatic environments,"Floating platforms, aquatic plants like Eichhornia crassipes, Pistia stratiotes",Deployed in existing water bodies to passively treat wastewater,karnataka
Floating Treatment Wetlands,Greywater,"Urban water bodies, lakes, ponds",Tropical,Aquatic environments,"Floating platforms, aquatic plants like Eichhornia crassipes, Pistia stratiotes",Deployed in existing water bodies to passively treat wastewater,maharashtra
Floating Treatment Wetlands,Greywater,"Urban water bodies, lakes, ponds",Tropical,Aquatic environments,"Floating platforms, aquatic plants like Eichhornia crassipes, Pistia stratiotes",Deployed in existing water bodies to passively treat wastewater,tamil nadu
Floating Treatment Wetlands,Greywater,"Urban water bodies, lakes, ponds",Tropical,Aquatic environments,"Floating platforms, aquatic plants like Eichhornia crassipes, Pistia stratiotes",Deployed in existing water bodies to passively treat wastewater,west bengal
Floating Treatment Wetlands, Blackwater,"Urban water bodies, lakes, ponds",Tropical,Aquatic environments,"Floating platforms, aquatic plants like Eichhornia crassipes, Pistia stratiotes",Deployed in existing water bodies to passively treat wastewater,karnataka
Floating Treatment Wetlands, Blackwater,"Urban water bodies, lakes, ponds",Tropical,Aquatic environments,"Floating platforms, aquatic plants like Eichhornia crassipes, Pistia stratiotes",Deployed in existing water bodies to passively treat wastewater,maharashtra
Floating Treatment Wetlands, Blackwater,"Urban water bodies, lakes, ponds",Tropical,Aquatic environments,"Floating platforms, aquatic plants like Eichhornia crassipes, Pistia stratiotes",Deployed in existing water bodies to passively treat wastewater,tamil nadu
