plant_species,locational_availability,climate_preference,soil_type,water_needs,ecological_role,pollution_tolerance,,state_name,optimal_water_type
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,tamil nadu,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,haryana,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,west bengal,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,himachal pradesh,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,gujarat,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,telangana,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,rajasthan,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,bihar,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,assam,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,andhra pradesh,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,karnataka,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,maharashtra,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,jharkhand,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,madhya pradesh,Black Water
Cattail (Typha latifolia),pan-india wetlands,Tropical to temperate,"Loamy, clayey",Shallow to moderate,Nutrient removal sediment trap microbial support,"High , Tolerates sewage and nutrient-rich wastewater",,kerala,Black Water
