criterion,factor,new_top1,top1_changed,spearman_vs_base
C1_treatment_fit,0.5,VF nitrifying hybrid,False,0.9643
C1_treatment_fit,0.8,VF nitrifying hybrid,False,1.0
C1_treatment_fit,0.9,VF nitrifying hybrid,False,1.0
C1_treatment_fit,1.1,VF nitrifying hybrid,False,1.0
C1_treatment_fit,1.2,VF nitrifying hybrid,False,1.0
C1_treatment_fit,1.5,VF nitrifying hybrid,False,1.0
C1_treatment_fit,2.0,VF nitrifying hybrid,False,0.8214
C2_standard_fit,0.5,DEWATS modular train,True,0.9286
C2_standard_fit,0.8,VF nitrifying hybrid,False,0.9643
C2_standard_fit,0.9,VF nitrifying hybrid,False,0.9643
C2_standard_fit,1.1,VF nitrifying hybrid,False,1.0
C2_standard_fit,1.2,VF nitrifying hybrid,False,1.0
C2_standard_fit,1.5,VF nitrifying hybrid,False,0.8929
C2_standard_fit,2.0,VF nitrifying hybrid,False,0.8929
C3_site_fit,0.5,VF nitrifying hybrid,False,1.0
C3_site_fit,0.8,VF nitrifying hybrid,False,1.0
C3_site_fit,0.9,VF nitrifying hybrid,False,1.0
C3_site_fit,1.1,VF nitrifying hybrid,False,1.0
C3_site_fit,1.2,VF nitrifying hybrid,False,1.0
C3_site_fit,1.5,VF nitrifying hybrid,False,1.0
C3_site_fit,2.0,VF nitrifying hybrid,False,1.0
C4_source_fit,0.5,VF nitrifying hybrid,False,1.0
C4_source_fit,0.8,VF nitrifying hybrid,False,1.0
C4_source_fit,0.9,VF nitrifying hybrid,False,1.0
C4_source_fit,1.1,VF nitrifying hybrid,False,1.0
C4_source_fit,1.2,VF nitrifying hybrid,False,1.0
C4_source_fit,1.5,VF nitrifying hybrid,False,1.0
C4_source_fit,2.0,VF nitrifying hybrid,False,1.0
C6_hydro_fit,0.5,VF nitrifying hybrid,False,1.0
C6_hydro_fit,0.8,VF nitrifying hybrid,False,1.0
C6_hydro_fit,0.9,VF nitrifying hybrid,False,1.0
C6_hydro_fit,1.1,VF nitrifying hybrid,False,1.0
C6_hydro_fit,1.2,VF nitrifying hybrid,False,1.0
C6_hydro_fit,1.5,VF nitrifying hybrid,False,1.0
C6_hydro_fit,2.0,VF nitrifying hybrid,False,1.0
C7_footprint,0.5,VF nitrifying hybrid,False,0.75
C7_footprint,0.8,VF nitrifying hybrid,False,1.0
C7_footprint,0.9,VF nitrifying hybrid,False,1.0
C7_footprint,1.1,VF nitrifying hybrid,False,0.9643
C7_footprint,1.2,VF nitrifying hybrid,False,0.9643
C7_footprint,1.5,VF nitrifying hybrid,False,0.9286
C7_footprint,2.0,VF nitrifying hybrid,False,0.9286
C8_om,0.5,VF nitrifying hybrid,False,0.9643
C8_om,0.8,VF nitrifying hybrid,False,0.9643
C8_om,0.9,VF nitrifying hybrid,False,1.0
C8_om,1.1,VF nitrifying hybrid,False,1.0
C8_om,1.2,VF nitrifying hybrid,False,1.0
C8_om,1.5,VF nitrifying hybrid,False,1.0
C8_om,2.0,VF nitrifying hybrid,False,0.9643
